,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
0,0,A.K.Tolstoy,Akhsharumov,Aksakov,Alekseyev,Amfiteatrov,Annenskaya,Apraksin,Apukhtin,Askochenskiy,Avdeyev,Avenarius,Begichev,Bestuzhev,Bestuzhev_marlinskiy,Blok,Boborykin,Bryusov,Bulgarin,Butkov,Chekhov,Chernyshevskiy,Dal,Danilevskiy,Dmitriyev,Dostoevsky,Driyanskiy,Druzhinin,Durova,Ertel,Filippov,Furman,Gan,Garin_mikhaylovskiy,Garshin,Gertsen,Geyntse,Gippius,Glinkav,Gogol,Goncharov,Gorkiy,Gorky,Grebenka,Grech,Grigorovich,Herzen,Iogel,Kalashnikov,Karnovich,Khomyakov,Khvoshchinskaya,Kogan,Kokhanovskaya,Kokorev,Kolbasin,Konshin,Kornilovich,Korolenko,Krasnitskiy,Krasnova,Krestovskaya,Kryukov,Kryzhanovskaya,Kugushev,Kulchitskiy,Kuprin,Kushchevskiy,Lazhechnikov,Lebedev,Leontyev,Leontyev_shcheglov,Lermontov,Leskov,Levitov,Leykin,Linev,Lukhmanova,Machtet,Maklakova_nelidova,Maksimov,Mamin_sibiryak,Markevich,Masalskiy,Melnikov,Menshikov,Merder,Mikhaylov,Mordovtsev,Moskvin,Narezhnyy,Naumov,Nekrasov,Nekrasov_i_dr,Nemirovich_danchenko,Nikitin,Odoyevskiy,Omulevskiy,Panayev,Panayeva,Pavlov,Pisemskiy,Pleshcheyev,Pogodin,Pogorelskiy,Polevoy,Polevoypn,Pomyalovskiy,Potapenko,Poznyakov,Pushkin,Remezov,Reshetnikov,Rostopchina,Salias,Salov,Saltykov_shchedrin,Senkovskiy,Shalikova,Shapir,Sheller_mikhaylov,Shklyarevskiy,Sholokhov,Slavutinskiy,Sleptsov,Sokolovskiy,Sollogub,Solovyevvs,Somov,Stanyukovich,Starostin,Sukhonin,Tan_bogoraz,Teleshov,Terpigorev,Timofeyev,Tolstoy,Tur,Turgenev,Uspenskiyg,Veltman,Veltmane,Veresayev,Vereshchagin,Veselitskaya,Volkonskiy,Vonlyarlyarskiy,Yakubovich,Yasinskiy,Yelpatyevskiy,Yermolova,Yurkovskiy,Zagoskin,Zasodimskiy,Zhadovskaya,Zhelikhovskaya,Zhukova,Zlatovratskiy,Zotov
1,A.K.Tolstoy,0,4182.455154,4617.107334,4706.732205,4171.757132,5640.222053,4254.890118,4310.196082,4128.027791,4238.314841,4301.435129,4131.114741,4180.048744,5375.527265,4514.635923,7896.892659,8149.270771,7566.594864,4147.352261,8100.735829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Akhsharumov,4182.455154,0,4465.638257,4591.80055,2925.533386,5433.938932,3120.852644,3659.872369,2913.322087,3218.604779,3524.001726,2897.290269,2964.976868,5240.196944,4365.364201,7734.971924,7946.509429,7543.206731,2889.958026,7926.674171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aksakov,4617.107334,4465.638257,0,4799.606661,4492.962156,5604.651246,4543.498727,4554.846627,4440.651742,4490.898649,4554.630021,4435.794292,4483.888638,5424.847702,4666.612951,7866.019508,8122.169116,7629.02893,4458.307267,8053.472493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Alekseyev,4706.732205,4591.80055,4799.606661,0,4606.322187,5663.521398,4667.165462,4707.964308,4555.146611,4630.07084,4690.046641,4558.375635,4593.272573,5421.910505,4759.984682,7902.953315,8130.528537,7597.9136,4588.433816,8101.151213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Amfiteatrov,4171.757132,2925.533386,4492.962156,4606.322187,0,5467.362638,3139.17805,3687.056707,2854.460516,3228.8748,3543.707172,2630.122963,2926.021168,5240.411831,4326.921992,7785.691336,7976.492816,7567.726244,2552.903467,7984.283929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Annenskaya,5640.222053,5433.938932,5604.651246,5663.521398,5467.362638,0,5538.473894,5502.429575,5416.512261,5440.314139,5518.586399,5464.937779,5495.221269,5760.911913,5689.649144,7978.131036,8247.113717,7840.125593,5484.289368,8189.873357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apraksin,4254.890118,3120.852644,4543.498727,4667.165462,3139.17805,5538.473894,0,3725.110499,3112.003671,3304.644665,3605.275782,3097.918484,3158.985573,5315.491801,4479.731506,7834.963305,8028.34603,7580.016888,3100.917014,8056.637885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Apukhtin,4310.196082,3659.872369,4554.846627,4707.964308,3687.056707,5502.429575,3725.110499,0,3644.438011,3705.075422,3785.985133,3642.364222,3680.357675,5355.569705,4509.693924,7770.665543,8063.00728,7626.630084,3663.775069,7990.53023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Askochenskiy,4128.027791,2913.322087,4440.651742,4555.146611,2854.460516,5416.512261,3112.003671,3644.438011,0,3213.091473,3510.593209,2723.46759,2903.371857,5211.040755,4296.270436,7702.270084,7978.160188,7480.167458,2815.60811,7902.99277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
